id;Название плейлиста;Название видео;Дата публикации видео;Количество просмотров видео;Количество лайков под видео;Количество дизлайков под видео;Количество добавлений видео в избранное;Количество комментариев под видео;Продолжительность видео в секундах
6NaqEnraXYI;Resident Evil 3;Resident Evil 3 - U.E.B.A.N. ГОНИТСЯ ЗА НАМИ-ФИНАЛ;2020-04-04T19:44:57Z;26849;2107;62;0;53;6037
xc8w1SlP_JQ;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;АП НЕ ПОМОГ - СТГ ГВАРДЕЕЦ - ГАЙД;2021-03-10T07:00:09Z;41726;2939;54;0;197;1776
5BLn8ttsrk4;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;ОН СТАЛ ЛУЧШЕ - Т-34-3 - ГАЙД;2021-03-08T07:00:03Z;48708;3012;52;0;205;2180
9CO-8-l1LkA;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;ЭТО РАКЕТА, ЭТО САМОЛЕТ - Т26Е4 СУПЕРПЕРШИНГ - ГАЙД;2021-03-06T07:00:03Z;114114;5877;135;0;417;1944
dzZ8LHDbbVs;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;АКТУАЛИЗАЦИЯ - STA-2 - ГАЙД;2021-03-04T07:00:12Z;40834;2777;38;0;188;1318
UuIYY4CN2jk;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;ВОДОВОРОТ БАЛАНСА - 122 ТМ - ГАЙД;2021-02-14T07:00:16Z;93355;7100;273;0;472;1891
LVd6yLf0ieo;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА BISONTE C45 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-12-13T07:00:08Z;96102;4528;207;0;303;1771
VOasEpPcJVw;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА GSOR 1008 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-12-11T07:00:18Z;94506;4638;204;0;294;1936
Y4Ex91l-fGw;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА ОБЪЕКТ 274А (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-11-29T07:00:05Z;79116;4479;267;0;458;1789
nhfwvqrjbTk;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Panther 8,8 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-10-23T04:00:11Z;51275;3146;91;0;316;1807
ILvnbn4Tbig;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА T77 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-09-29T04:00:01Z;69259;4140;136;0;675;2353
dhGHYe0Iktk;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА T42  (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-09-20T07:00:09Z;30150;2242;55;0;174;2356
YzZMi3HWphQ;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА CS-52 LIS (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-08-29T07:00:03Z;70762;4550;147;0;352;1925
xVsAiXkpvg4;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Kanonenjagdpanzer 105 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-08-13T07:00:15Z;81936;4717;288;0;503;2666
4nZjdofRchg;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА T25 Pilot Number 1 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-08-11T07:00:01Z;36397;3108;86;0;402;2132
TgNG_9FXkeg;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Chieftain/T95 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-08-09T07:00:09Z;67016;4825;173;0;768;2201
kOWyFflSQ44;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА FV1066 Senlac (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-08-07T07:00:08Z;39597;2515;96;0;596;2649
U5gQi4-EgYY;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА STRV 81 Primo Victoria (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-08-05T07:00:04Z;33563;2442;80;0;434;3072
6kXYp3jtEX8;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Turtle Mk. I (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-08-03T07:00:02Z;60089;3469;95;0;445;2468
IbGEpijkqek;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА leKpz M 41 90 mm GF (ЧЕРНЫЙ БУЛЬДОГ) (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-08-01T07:00:02Z;33917;2071;76;0;328;2342
wwEoWiGgbGU;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Panhard EBR 75 (FL 10) (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-30T07:00:10Z;44543;2798;72;0;342;1852
bt77Z-0a0HM;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА TL-1 LPC (The Offspring) (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-28T07:00:18Z;55700;3048;110;0;439;2277
UG-dRqpnlgY;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА M41D (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-26T07:00:07Z;28870;2332;47;0;356;2280
tfUN4RQge6w;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА WZ-111 (Alpine Tiger) (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-24T07:00:10Z;26634;1903;67;0;240;2591
H9WH3srIQ8s;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Т-44-100 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-22T07:00:07Z;53171;3358;126;0;438;2393
6oWDobLuIPU;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Strv S1 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-20T07:00:02Z;69160;3648;453;0;592;1839
bPLQ_8W8Lnk;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Škoda T 27 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-18T07:00:04Z;55760;2927;95;0;346;2226
duS-wmxAZdY;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА КВ-4 КРЕСЛАВСКОГО (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-16T07:00:21Z;57086;4186;94;0;451;2610
Le7Y5TZfNiQ;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Объект 252У Защитник (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-14T07:00:04Z;110442;5047;224;0;631;2903
a0WgE2xo5aw;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА M46 Patton KR (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-12T07:00:01Z;40202;2800;73;0;458;2106
gx3_t3H_5xo;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА ИС-5 (ОБЪЕКТ 730) (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-10T07:00:08Z;106868;5192;317;0;695;2243
ozoTnv0Jrjc;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА EMIL 1951 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-08T07:00:17Z;49599;2936;99;0;499;2413
wH33q2KOZSI;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА AMX CDC (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-06T07:00:20Z;50095;3595;100;0;585;1535
uHv_9xukTZs;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА VK 168.01 (P) (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-04T07:00:10Z;70432;3724;139;0;524;2230
5YnYyyKif0w;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА VK 75.01 (K) (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-07-02T07:00:01Z;69915;3592;167;0;420;2271
yJEgx6chNxc;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Lorraine 40 t (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-06-30T07:00:24Z;58463;3093;149;0;500;2237
2-tWiJH6OP8;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Bourrasque (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-06-28T07:00:00Z;89117;3977;244;0;476;2158
EuuDGZR_HLQ;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА STA-2 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-06-26T07:00:04Z;45911;3216;102;0;627;1686
BnUdEaDgJS0;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА M54 RENEGADE (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-06-24T07:00:04Z;84303;4305;172;0;575;1801
TZFqCKHIlhs;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА ИСУ-152К (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-06-22T07:00:06Z;58821;3296;116;0;412;2562
o9zujHMA1_4;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА M48A2 Räumpanzer (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-06-20T07:00:13Z;37607;2401;36;0;458;2180
XEXL7D-og1g;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА M4A1 Revalorisé (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-06-18T07:00:05Z;45586;3030;144;0;864;1894
gHF3GW9Sh5s;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Chrysler K (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-06-16T07:00:11Z;146854;6248;400;0;682;2288
rrV3gfmMXrE;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА TYPE 59 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-06-14T07:00:12Z;52706;3271;101;0;671;2017
mYHZWKDmGkQ;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА 59-PATTON (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-06-12T07:00:19Z;36884;2500;78;0;665;1727
6dU_1zWXe3k;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА СУ-130ПМ (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-06-10T07:00:02Z;69601;3761;133;0;631;2174
7rTMKVOdFCw;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА PROGETTO M35 MOD. 46 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-06-08T07:00:01Z;83421;4510;187;0;793;1952
RkylXUeOElA;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Caernarvon Action X (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-06-06T07:00:07Z;70661;3572;123;0;658;2327
K4-tTCCxKY0;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Объект 703 Вариант II (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-06-04T07:00:03Z;99482;4647;161;0;806;2559
COuXZn_4JFY;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Centurion Mk. 5/1 RAAC (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-06-02T09:28:17Z;51178;2718;81;0;529;2402
IVxH1txmQ4g;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА ЛТ-432 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-31T07:00:17Z;57891;3366;115;0;678;2133
RQxKYm4lvjY;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Skorpion G (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-29T07:00:07Z;90560;5079;169;0;849;2066
WoRzBVPgvMI;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА PANZER 58 MUTZ (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-27T07:00:08Z;55048;3349;87;0;661;2292
6weYYHheKwg;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА ИС-6 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-25T07:00:04Z;144670;6404;269;0;1038;2401
HXb_aSWq4Fg;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА AMX Canon d'assaut 105 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-23T07:00:03Z;96821;4513;351;0;985;2813
wG9LettwaWY;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА LANSEN C (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-21T07:00:26Z;52005;3506;70;0;852;2023
-je85SvPdd8;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА TS-5 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-19T07:00:00Z;66751;4109;131;0;1104;2288
5rGbiJIJnSI;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Т-54 первый образец (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-17T07:00:04Z;71306;4566;175;0;1104;2097
j9kaWgweuUY;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА T-34-3 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-15T07:00:27Z;64427;3852;99;0;928;2637
OOXXWpg8vbE;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА FCM 50 t (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-13T07:00:09Z;54345;3877;82;0;1127;2333
-fX3ge8Lb54;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА E 75 TS (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-11T07:00:01Z;80784;4300;131;0;1075;2815
QcG4VJ4B5gA;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Löwe (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-09T07:00:08Z;68878;5107;138;0;1048;2267
x0rx2qmBew0;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА ИС-3 с МЗ (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-07T07:00:17Z;90157;4532;169;0;973;2670
Syc8_k04hpg;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА M6A2E1 (ГУСЬ) (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-05T07:00:07Z;63489;4099;115;0;994;2368
wy31lrEJu04;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА КВ-5 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-03T07:00:18Z;50837;3916;104;0;1301;3093
ADA0Q8TInAY;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА ELC EVEN 90 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-05-01T07:00:06Z;75817;4924;406;0;1179;3040
9qQv5URg_1M;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА T34 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-29T07:00:02Z;93268;5939;241;0;1768;2234
BxI9u4BnL9A;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА HWK 30 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-27T07:00:06Z;101003;5909;273;0;1242;2188
Illj3Dqg9jY;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА 50TP prototyp (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-25T07:00:04Z;106010;5330;235;0;1281;2371
shrmEjGs7Cw;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Somua SM (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-23T07:00:18Z;64782;3965;216;0;802;2035
QFmoO1rsxl0;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА T26E4 SuperPershing (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-21T07:00:07Z;100499;5580;220;0;1282;2218
YoLR6fS9iCQ;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА WZ-120-1G FT (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-19T07:00:13Z;92705;5396;225;0;1450;2070
squDeKEm2LI;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Т92 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-17T07:00:19Z;65793;3942;186;0;1480;2582
TGp36u96mrc;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА 112 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-15T07:00:10Z;103163;6240;198;0;1399;2002
yK3alVGZKGo;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА FV4202 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-13T07:00:30Z;113797;6430;280;0;1723;2631
THRL8SKvgOw;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА JAGDTIGER 8,8 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-11T07:00:09Z;83055;5396;169;0;2235;2653
MLuUPkrj588;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА PANTHER 8,8 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-09T07:00:03Z;78137;5663;140;0;1717;2438
OA_4NRq2u4Y;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Т26Е5 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-07T07:00:09Z;144371;6897;368;0;1554;2355
W4uGNmKJ0Fg;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА AMX M4 mle. 49 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-05T07:00:19Z;162514;8764;557;0;2273;2873
-bGd-Q-SHJc;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА СТГ ГВАРДЕЕЦ (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-03T07:00:00Z;140739;6942;344;0;2099;2718
aSQIBss5gf8;ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ;КАК ИГРАТЬ НА Т-103 (ГАЙДЫ ПО ПРЕМИУМ ТАНКАМ);2020-04-01T07:00:03Z;90535;7600;154;0;2010;2394
jWNKQtgziM0;The Last of Us;The Last of Us-ЛУЧШАЯ ИГРА ДЕСЯТИЛЕТИЯ (PS4);2020-03-23T21:17:06Z;50725;3651;122;0;123;9504
RyCXyAdSW1Q;The Last of Us;The Last of Us-ШЕДЕВАР-ДОЛГИЙ СТРИМ НА 4 ЧАСА (PS4);2020-03-25T23:26:55Z;33350;2785;63;0;67;14402
cgwgYX4G8OI;The Last of Us;The Last of Us-ДО ФИНАЛА-БУДУТ СЛЕЗЫ (PS4);2020-03-26T21:11:43Z;34211;2812;62;0;61;9958
KP4f-7KzXEk;UNCHARTED 4;Uncharted 4-ИГРА ЗДОРОВОГО ЧЕЛОВЕКА (PS4)/ЧАСТЬ 1;2020-03-06T21:34:51Z;50617;4191;117;0;107;10145
rXlEAtISJQE;UNCHARTED 4;Uncharted 4-ЕДЕМ В ШОТЛАНДИЮ ЗА ПИРАТСКИМ ЗОЛОТОМ (PS4)/ЧАСТЬ 2;2020-03-07T21:33:58Z;34973;2900;67;0;65;11727
L7sEIGdQyxs;UNCHARTED 4;UNCHARTED 4-ПЛЫВЕМ НА ОСТРОВ СОКРОВИЩ (PS4)/ЧАСТЬ 3;2020-03-08T22:27:35Z;33279;2504;89;0;30;11460
2qVr2boejaQ;UNCHARTED 4;UNCHARTED 4-МЫ НАЙДЕМ ЗОЛОТО ПИРАТОВ-СТРИМ ДО ФИНАЛА (PS4);2020-03-09T21:13:06Z;30096;2524;77;0;38;9297
89dlBnMWD6M;ГАЙДЫ ПО ЛЕГКИМ ТАНКАМ;Korben Dallas-WZ-132-1-7 МЕСТО-ГАЙДЫ ПО ЛЕГКИМ ТАНКАМ(С ИНСПИРЕРОМ);2019-11-01T08:59:22Z;62447;4810;77;0;549;3853
bNdnfFqQLDc;ГАЙДЫ ПО ЛЕГКИМ ТАНКАМ;Korben Dallas-Manticore-6 МЕСТО-ГАЙДЫ ПО ЛЕГКИМ ТАНКАМ(С МЕКСИКАНЦЕМ);2019-11-03T14:26:03Z;51355;3649;94;0;279;3127
uVW9g9NUhsc;ГАЙДЫ ПО ЛЕГКИМ ТАНКАМ;Korben Dallas-Rheinmetall Panzerwagen-5 МЕСТО-ГАЙДЫ ПО ЛЕГКИМ ТАНКАМ(С НИДИНОМ);2019-11-05T09:53:17Z;44670;3487;103;0;353;3314
LQQ-BWNgN_M;ГАЙДЫ ПО ЛЕГКИМ ТАНКАМ;Korben Dallas-AMX 13 105-4 МЕСТО-ГАЙДЫ ПО ЛЕГКИМ ТАНКАМ(С НИДИНОМ);2019-11-06T09:03:21Z;55943;4154;127;0;300;3326
OI4n653jjFg;ГАЙДЫ ПО ЛЕГКИМ ТАНКАМ;Korben Dallas-XM551 Sheridan-3 МЕСТО-ГАЙДЫ ПО ЛЕГКИМ ТАНКАМ(СО ВСПЫШКОЙ);2019-11-07T08:50:22Z;52792;3914;99;0;399;3789
8cuo9XVwFe0;ГАЙДЫ ПО ЛЕГКИМ ТАНКАМ;Korben Dallas-Т-100 ЛТ-2 МЕСТО-ГАЙДЫ ПО ЛЕГКИМ ТАНКАМ(С ЛИКВИДАТОРОМ);2019-11-09T09:00:42Z;57242;4277;159;0;335;3954
CflArXBhSK4;ГАЙДЫ ПО ЛЕГКИМ ТАНКАМ;Korben Dallas-Panhard EBR 105-1 МЕСТО-ГАЙДЫ ПО ЛЕГКИМ ТАНКАМ(С ШОТНИКОМ);2019-11-10T08:53:30Z;103788;6678;206;0;384;3530
odWT1NNva2Y;ЛБЗ-КАК ВЫПОЛНИТЬ БЫСТРО;ЛБЗ-КАК БЫСТРО ВЗЯТЬ ОБ.279(Р)-''СОЮЗ''-РАЗБОР ВСЕХ ЗАДАЧ;2019-10-11T09:01:39Z;64379;4190;282;0;523;5241
1qABLaW_nq8;ЛБЗ-КАК ВЫПОЛНИТЬ БЫСТРО;ЛБЗ-КАК БЫСТРО ВЗЯТЬ ОБ.279(Р)-''БЛОК''-РАЗБОР ВСЕХ ЗАДАЧ;2019-10-13T09:01:36Z;21261;1455;60;0;140;4064
k2vZyygINfw;ЛБЗ-КАК ВЫПОЛНИТЬ БЫСТРО;ЛБЗ-КАК БЫСТРО ВЗЯТЬ ОБ.279(Р)-''АЛЬЯНС''-РАЗБОР ВСЕХ ЗАДАЧ;2019-10-15T09:02:37Z;22994;1119;88;0;120;3338
DwiYpSe0u2c;MAN OF MEDAN;MAN OF MEDAN-ОБСИРАЕМСЯ ОТ СТРАХА/ЧАСТЬ 1;2019-08-30T21:47:26Z;51870;3435;103;0;84;10899
dcLHw3EtNCQ;MAN OF MEDAN;MAN OF MEDAN-ПРОХОДИМ ДО КОНЦА;2019-08-31T20:04:29Z;28534;2153;65;0;128;4865
Jnf2ctvhX34;ГАЙДЫ ПО ПТ-САУ;Korben Dallas-AMX 50 Foch (155)-13 МЕСТО-ГАЙДЫ ПО ПТ-САУ;2019-09-01T08:48:58Z;98601;5087;105;0;597;2607
0WojgQssopI;ГАЙДЫ ПО ПТ-САУ;Korben Dallas-Jagdpanzer E 100-12 МЕСТО-ГАЙДЫ ПО ПТ-САУ;2019-09-03T09:00:44Z;69356;4215;140;0;450;2965
f5rzJHJMWKU;ГАЙДЫ ПО ПТ-САУ;Korben Dallas-WZ-113G FT-11 МЕСТО-ГАЙДЫ ПО ПТ-САУ;2019-09-05T08:47:17Z;56826;3421;69;0;332;2671
2qYt7t99z1Y;ГАЙДЫ ПО ПТ-САУ;Korben Dallas-ОБЪЕКТ 268-10 МЕСТО-ГАЙДЫ ПО ПТ-САУ;2019-09-07T08:55:23Z;60789;4216;123;0;484;2541
ts2quE1iBMI;ГАЙДЫ ПО ПТ-САУ;Korben Dallas-Strv 103B-9 МЕСТО-ГАЙДЫ ПО ПТ-САУ;2019-09-09T09:00:37Z;59808;3840;81;0;385;3141
HbDLmzPXB10;ГАЙДЫ ПО ПТ-САУ;Korben Dallas-FV4005 Stage II-8 МЕСТО-ГАЙДЫ ПО ПТ-САУ;2019-09-11T08:55:45Z;68315;3967;76;0;290;2833
azGvOYAyOsg;ГАЙДЫ ПО ПТ-САУ;Korben Dallas-Grille 15-7 МЕСТО-ГАЙДЫ ПО ПТ-САУ;2019-09-13T08:57:43Z;102935;4658;162;0;420;3349
cKLdzBkGOVo;ГАЙДЫ ПО ПТ-САУ;Korben Dallas-FV215b (183)-6 МЕСТО-ГАЙДЫ ПО ПТ-САУ;2019-09-15T09:00:54Z;59672;3548;69;0;326;2485
y2_bWj0qbRw;ГАЙДЫ ПО ПТ-САУ;Korben Dallas-AMX 50 Foch B-5 МЕСТО-ГАЙДЫ ПО ПТ-САУ;2019-09-17T09:00:35Z;58395;3451;76;0;295;3494
qGhsMXgFrqs;ГАЙДЫ ПО ПТ-САУ;Korben Dallas-4 МЕСТО-FV217 Badger-ГАЙДЫ ПО ПТ-САУ;2019-09-19T09:00:40Z;58562;3524;85;0;338;3852
kgLIcKgRLcI;ГАЙДЫ ПО ПТ-САУ;Korben Dallas-Т110Е4-3 МЕСТО-ГАЙДЫ ПО ПТ-САУ;2019-09-21T08:53:30Z;69530;3951;103;0;328;3293
