id;Название плейлиста;Название видео;Дата публикации видео;Количество просмотров видео;Количество лайков под видео;Количество дизлайков под видео;Количество добавлений видео в избранное;Количество комментариев под видео;Продолжительность видео в секундах
lnrvcYA-TFE;Microsoft Flight Simulator;БОИНГ 787-ИЗ ФРАНЦИИ НА КИПР-НАСТРОЙКА ВСЕХ СИСТЕМ В ВОЗДУХЕ-КРУТОЕ ПИКЕ;2020-08-22T20:38:26Z;48725;3491;160;0;43;12035
CFcRJWOpKyY;Microsoft Flight Simulator;ОГРОМНЫЙ БОИНГ 747 НАПРАВЛЯЕТСЯ В МИНСК В ШТОРМ С ГРОЗОЙ;2020-08-19T19:04:06Z;76487;5630;316;0;69;9065
a1YS7XVvTiM;Microsoft Flight Simulator;СТРИМ ИЗ САМОЛЕТА-ЛЕТИМ В МИНСК К РАЗРАБОТЧИКАМ-ЗАНИМАЙТЕ МЕСТА;2020-08-18T20:01:56Z;139083;10419;454;0;266;11695
f39iXVBgOJs;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);ЛЕГЕНДА - Т-22 СР. - ГАЙД;2021-03-16T07:00:06Z;34813;3238;31;0;324;1647
fXtBVyONSXI;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);ЧТО ТЫ ЗНАЕШЬ О БОЛИ-RINOCERONTE - ГАЙД;2021-02-22T07:00:05Z;48137;3369;72;0;261;1884
hagVYOZ68eo;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);ПОКУШАТЬ С ГЛОБАЛЬНОЙ КАРТЫ-CARRO 45 t - ГАЙД;2021-02-16T07:00:07Z;38290;3092;78;0;249;1929
YD4Ke3fLSDg;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);КУЧА-Foch 155;2020-12-31T07:00:14Z;62048;3538;103;0;431;1490
I55-h_KMpl8;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);РЕБАЛАНС ВО ПЛОТИ-Foch B;2020-12-29T07:00:07Z;78228;4336;119;0;330;2002
CjFg2ze6rpU;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);ЛУЧШИЙ В ДЕЛЕ-M60;2020-12-27T07:00:01Z;58325;3498;71;0;310;2161
kezShMY5HrE;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);ЧУЧЕЛО-AMX 30 B;2020-12-25T07:00:06Z;41545;3058;76;0;312;1785
5xtkWWhU-8Y;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);ВЕТЕРАН-Объект 268;2020-12-23T07:00:01Z;54580;3084;79;0;299;2255
pg9y1uIRw0U;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);АМЕРИКАНСКИЙ СТБ-T95E6;2020-12-21T07:00:20Z;40348;2667;42;0;233;1837
EwcGVYWH6uA;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);БРАТИШКА-WZ-113G FT;2020-12-19T07:00:02Z;59705;3571;79;0;303;2184
mkRZqqw8JzQ;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);МАКСИМУМ БЕСПОЛЕЗНОСТИ-Strv 103B;2020-12-17T07:00:07Z;71798;4360;152;0;479;2131
rn19uw0dyiw;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);ЦАРЬ-ПУШКА-FV215b;2020-12-15T07:00:07Z;71913;3896;105;0;351;1919
IzQLWMWB780;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);ХУДШИЙ ИЗ ХУДШИХ-WZ-132-1;2020-12-09T07:00:05Z;35200;2313;63;0;242;2215
SnHvmacs6Rw;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);МАКСИМАЛЬНАЯ СЛОЖНОСТЬ-MANTICORE;2020-12-07T07:00:12Z;75477;4053;92;0;487;2177
0SqYzSrIeR4;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);КИБЕРБУЛЛЕР-UDES 15/16;2020-12-05T07:00:01Z;64382;3847;96;0;304;2144
4wxDe7BYSuQ;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);ГРЕБЕНЬ-Panzerwagen;2020-12-03T07:00:01Z;39786;2722;74;0;361;1757
i3kPQw8x8gU;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);БЕСПОЛЕЗНАЯ КУРИЦА-Grille 15;2020-12-01T07:00:16Z;69357;4129;132;0;448;1847
BYi2HwI0dIQ;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);КОШКА ПРИБОЛЕЛА-Leopard 1;2020-11-27T07:00:01Z;62602;3500;169;0;366;1514
MM87XX0NJNk;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);ТРЕНАЖЕР-SHERIDAN;2020-11-25T07:00:06Z;51985;3146;120;0;381;1789
aU5YNyMDyOk;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);ВЫСОКАЯ СИЛЬНОСТЬ-AMX 13 105;2020-11-23T07:00:01Z;59767;3619;147;0;454;1397
0CyugBGh0Y4;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);МОТОЦИКЛ С БРОНЕЙ-Т-100 ЛТ;2020-11-21T07:00:00Z;54702;3496;203;0;387;1679
quhUSC3tx9g;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);НЕРЕАЛЬНЫЙ ГОНЩИК-EBR 105;2020-11-17T07:00:06Z;65536;3972;157;0;505;2104
y-64VDrbs8U;ПОЛОЖНЯК ПО ДЕСЯТКЕ (ГАЙДЫ ПО 10 ЛВЛ);МЕЧТА ПСЕВДЫ-ОБЪЕКТ 907;2020-11-15T07:00:18Z;73850;4271;116;0;364;2342
